"","date","state","net_approval","fips","cases","deaths","death_rate","delta_cases_date","delta_cases","cases_rate_percent_change","delta_death_date","delta_death","Death_rate_percent_change","delta_date","delta_approval_rate","approval_rate_percent_change"
"1",2020-03-13,"alabama",0.18745789699308,1,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-14,"alabama",0.188548683404777,1,12,0,0,1,6,0.5,1,0,NA,1,0.00109078641169669,0.00578517119292202
"3",2020-03-15,"alabama",0.189662563537265,1,23,0,0,1,11,0.478260869565217,1,0,NA,1,0.00111388013248842,0.00587295727588099
"4",2020-03-16,"alabama",0.190703656072019,1,29,0,0,1,6,0.206896551724138,1,0,NA,1,0.0010410925347541,0.00545921644187528
"5",2020-03-17,"alabama",0.19107110049605,1,39,0,0,1,10,0.256410256410256,1,0,NA,1,0.000367444424030972,0.00192307692307748
"6",2020-03-18,"alabama",0.191426821800367,1,51,0,0,1,12,0.235294117647059,1,0,NA,1,0.000355721304317436,0.00185826260380797
"7",2020-03-19,"alabama",0.191744748606773,1,78,0,0,1,27,0.346153846153846,1,0,NA,1,0.000317926806405799,0.00165807308265739
"8",2020-03-20,"alabama",0.19210042865891,1,106,0,0,1,28,0.264150943396226,1,0,NA,1,0.000355680052136709,0.00185153179833996
"9",2020-03-21,"alabama",0.192491425771681,1,131,0,0,1,25,0.190839694656489,1,0,NA,1,0.000390997112770575,0.00203124430713266
"10",2020-03-22,"alabama",0.191377304182742,1,157,0,0,1,26,0.165605095541401,1,0,NA,1,-0.00111412158893825,-0.00582159725624729
"11",2020-03-23,"alabama",0.190324556031843,1,196,0,0,1,39,0.198979591836735,1,0,NA,1,-0.00105274815089912,-0.00553133117895194
"12",2020-03-24,"alabama",0.189233878375896,1,242,0,0,1,46,0.190082644628099,1,0,NA,1,-0.0010906776559475,-0.00576364901099248
"13",2020-03-25,"alabama",0.188192785841141,1,386,1,0.259067357512953,1,144,0.373056994818653,1,1,1,1,-0.00104109253475426,-0.00553205336804502
"14",2020-03-26,"alabama",0.187090452569049,1,538,3,0.557620817843866,1,152,0.282527881040892,1,2,0.666666666666667,1,-0.00110233327209253,-0.00589198036006509
